world,node,child,value_0.2_1,value_0.28_1,value_0.391_1,value_0.547_1,value_0.765_1,value_1.07_1,value_1.496_1,value_2.092_1,value_2.925_1,value_4.091_1,value_5.721_1,value_8_1
medium_cubicles,N86472,N73070,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
medium_cubicles,N86472,N12601,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
medium_cubicles,N73070,N87470,0.9933,0.9727,0.9281,0.8615,0.7861,0.7132,0.6461,0.5842,0.5287,0.4813,0.4431,0.4136
medium_cubicles,N73070,N13598,0.0067,0.0273,0.0719,0.1384,0.2127,0.2801,0.3311,0.3622,0.3756,0.3769,0.372,0.365
medium_cubicles,N73070,N58882,0.0,0.0,0.0,0.0001,0.0011,0.0067,0.0228,0.0535,0.0957,0.1418,0.1849,0.2214
medium_cubicles,N12601,N20537,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
medium_cubicles,N12601,N61048,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
medium_cubicles,N87470,N53349,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8712,0.797,0.7267,0.668,0.6225
medium_cubicles,N87470,N38759,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1288,0.203,0.2733,0.332,0.3775
medium_cubicles,N13598,N31028,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
medium_cubicles,N13598,N14684,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
medium_cubicles,N58882,N22906,1.0,1.0,0.9995,0.9952,0.9754,0.9222,0.8308,0.7214,0.6198,0.5387,0.4787,0.436
medium_cubicles,N58882,N23735,0.0,0.0,0.0005,0.0041,0.0193,0.0559,0.1118,0.172,0.2223,0.2587,0.2834,0.2996
medium_cubicles,N58882,N26939,0.0,0.0,0.0,0.0007,0.0052,0.0219,0.0573,0.1066,0.1579,0.2026,0.2379,0.2644
medium_cubicles,N20537,N82844,0.5,0.5,0.5,0.5,0.5,0.4999,0.4988,0.4946,0.4843,0.467,0.445,0.4223
medium_cubicles,N20537,N59813,0.5,0.5,0.5,0.5,0.5,0.4999,0.4988,0.4946,0.4843,0.467,0.445,0.4223
medium_cubicles,N20537,N77401,0.0,0.0,0.0,0.0,0.0,0.0003,0.0024,0.0108,0.0314,0.0661,0.1099,0.1554
medium_cubicles,N61048,N75958,0.9933,0.9727,0.9281,0.8615,0.787,0.7179,0.6601,0.6122,0.5693,0.528,0.4885,0.4531
