world,nodeLocation,NID,PARENTID,pathFromParent,depth,N,S,stepsFromRoot,isLeaf,nodeValue,nodeEP,blackremains,cellDistances
medium_cubicles,"(0, 0)",N86472,NA,,0,0,0,0,FALSE,0,0,24,
medium_cubicles,"(3, 0)",N73070,N86472,"p(0, 0);p(1, 0);p(2, 0);p(3, 0);",0,3,3,3,FALSE,0,0,21,"1, 2, 3"
medium_cubicles,"(0, 3)",N12601,N86472,"p(0, 0);p(0, 1);p(0, 2);p(0, 3);",0,6,3,3,FALSE,0,0,18,"1, 2, 3, 4, 5, 6"
medium_cubicles,"(4, 0)",N87470,N73070,"p(3, 0);p(4, 0);",0,4,1,4,FALSE,0,0,17,"2, 3, 4, 5"
medium_cubicles,"(4, 1)",N13598,N73070,"p(3, 0);p(3, 1);p(4, 1);",0,4,2,5,FALSE,0,0,17,"1, 2, 3, 4"
medium_cubicles,"(0, 3)",N58882,N73070,"p(3, 0);p(2, 0);p(1, 0);p(0, 0);p(0, 1);p(0, 2);p(0, 3);",0,6,6,9,FALSE,0,0,15,"1, 2, 3, 4, 5, 6"
medium_cubicles,"(4, 3)",N20537,N12601,"p(0, 3);p(1, 3);p(2, 3);p(3, 3);p(4, 3);",0,4,4,7,FALSE,0,0,14,"1, 1, 2, 2"
medium_cubicles,"(3, 0)",N61048,N12601,"p(0, 3);p(0, 2);p(0, 1);p(0, 0);p(1, 0);p(2, 0);p(3, 0);",0,3,6,9,FALSE,0,0,15,"1, 2, 3"
medium_cubicles,"(4, 3)",N53349,N87470,"p(4, 0);p(4, 1);p(4, 2);p(4, 3);",0,5,3,7,FALSE,0,0,12,"1, 1, 2, 2, 3"
medium_cubicles,"(0, 3)",N38759,N87470,"p(4, 0);p(3, 0);p(2, 0);p(1, 0);p(0, 0);p(0, 1);p(0, 2);p(0, 3);",0,5,7,11,FALSE,0,0,12,"1, 2, 3, 5, 6"
